,Provincia,Partido,Localidad,Poblacion,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,SATELITAL,WIRELESS,TELEFONIAFIJA,3G,4G,link,Latitud,Longitud
0,BUENOS AIRES,25 de Mayo,25 de Mayo,23408,SI,SI,NO,SI,SI,SI,SI,SI,SI,6854100.0,-354339385892588,-601731209454056
1,BUENOS AIRES,25 de Mayo,Agustín Mosconi,280,NO,NO,NO,NO,NO,NO,SI,NO,NO,6854010.0,-357392169542026,-605590634621789
2,BUENOS AIRES,25 de Mayo,Del Valle,899,SI,NO,NO,NO,SI,NO,NO,SI,SI,6854020.0,-358973453887603,-607316089512944
3,BUENOS AIRES,25 de Mayo,Ernestina,145,SI,NO,NO,NO,NO,NO,NO,NO,NO,6854030.0,-352702340519789,-595575034078873
4,BUENOS AIRES,25 de Mayo,Gobernador Ugarte,547,NO,NO,NO,NO,NO,SI,NO,NO,NO,6854040.0,-351643973648093,-600813577815069
5,BUENOS AIRES,25 de Mayo,Lucas Monteverde,63,NO,NO,NO,NO,NO,SI,NO,NO,NO,6854050.0,-354838272164734,-599880647932831
6,BUENOS AIRES,25 de Mayo,Norberto de la Riestra,4524,NO,SI,NO,NO,NO,SI,SI,SI,SI,6854060.0,-352727788695321,-597719327250509
7,BUENOS AIRES,25 de Mayo,Pedernales,1432,SI,NO,NO,NO,NO,NO,NO,NO,SI,6854070.0,-352666085074294,-596306574695384
8,BUENOS AIRES,25 de Mayo,San Enrique,279,NO,NO,NO,NO,NO,NO,SI,NO,NO,6854080.0,-357785028686085,-603546454811901
9,BUENOS AIRES,25 de Mayo,Valdés,579,NO,NO,NO,NO,NO,NO,SI,NO,SI,6854090.0,-356488128268597,-604672591673156
10,BUENOS AIRES,9 de Julio,12 de Octubre,219,NO,NO,NO,NO,NO,SI,SI,NO,NO,6588030.0,-35607730780146,-609182929927645
11,BUENOS AIRES,9 de Julio,9 de Julio,36494,SI,SI,SI,SI,NO,SI,SI,SI,SI,6588100.0,-354447435053964,-608843433362719
12,BUENOS AIRES,9 de Julio,Alfredo Demarchi (Est. Facundo Quiroga),1853,SI,NO,NO,NO,NO,NO,SI,SI,SI,6588010.0,-352929819536873,-614072542128
13,BUENOS AIRES,Carlos Tejedor,Curarú,422,NO,NO,NO,NO,NO,NO,SI,NO,NO,6154030.0,-356403503028113,-621924372294866
14,BUENOS AIRES,Carlos Tejedor,Timote,526,NO,NO,NO,NO,NO,NO,SI,NO,NO,6154040.0,-353477615165229,-622246532791856
15,BUENOS AIRES,Carlos Tejedor,Tres Algarrobos (Est. Cuenca),3201,NO,NO,NO,NO,SI,NO,SI,SI,SI,6154050.0,-351979815144911,-627730814064669
16,BUENOS AIRES,Carmen de Areco,Carmen de Areco,12775,SI,SI,SI,SI,NO,SI,SI,SI,SI,6161010.0,-343776987251735,-598229019801033
17,BUENOS AIRES,Carmen de Areco,Pueblo Gouin,122,NO,NO,NO,NO,NO,SI,NO,NO,NO,6161020.0,-344951191416005,-598029737383366
18,BUENOS AIRES,Carmen de Areco,Tres Sargentos,391,NO,NO,NO,NO,NO,SI,SI,NO,SI,6161030.0,-344664778301466,-600008697422009
19,BUENOS AIRES,Castelli,Castelli,6859,SI,SI,NO,SI,SI,SI,SI,SI,SI,6168010.0,-36091694119436,-578071801619355
20,BUENOS AIRES,Castelli,Centro Guerrero,114,NO,NO,NO,SI,NO,SI,NO,NO,NO,6168020.0,-360570621940227,-578235422591576
21,BUENOS AIRES,Castelli,Cerro de la Gloria,107,NO,NO,NO,SI,NO,NO,NO,SI,NO,6168030.0,-359760530599951,-574487354447874
22,BUENOS AIRES,Chacabuco,Castilla,689,NO,NO,NO,NO,NO,SI,SI,NO,NO,6210010.0,-346131247014799,-599005194580559
23,BUENOS AIRES,Chacabuco,Chacabuco,38418,SI,SI,SI,SI,NO,SI,SI,SI,SI,6210020.0,-346429843999409,-604701843504346
24,BUENOS AIRES,Chacabuco,Los Angeles,54,NO,NO,NO,NO,NO,NO,NO,SI,SI,6210030.0,-344575064000002,-601801845132051
25,BUENOS AIRES,Chacabuco,O'Higgins,1206,SI,NO,NO,SI,NO,SI,SI,SI,SI,6210040.0,-345854707868254,-606986325840689
26,BUENOS AIRES,General Juan Madariaga,General Juan Madariaga,18089,SI,NO,SI,SI,NO,NO,SI,SI,SI,6315010.0,-369967730012079,-571374769071298
27,BUENOS AIRES,General La Madrid,General La Madrid,8073,SI,NO,SI,SI,NO,SI,SI,SI,SI,6322010.0,-372503992475804,-612595794125711
28,BUENOS AIRES,General La Madrid,La Colina,663,NO,NO,NO,NO,NO,NO,SI,NO,NO,6322020.0,-373607690235166,-615348487870647
