,Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total
0,2022,1,Buenos Aires,392045,2728865,1242121,125521,668720,4555424
1,2022,1,Capital Federal,102290,1217225,62308,5784,299340,1417541
2,2022,1,Catamarca,14181,15517,29118,1328,22340,62378
3,2022,1,Chaco,32391,64546,36662,8164,23560,144119
4,2022,1,Chubut,44133,66667,9184,30592,210520,171628
5,2022,1,Córdoba,195610,501799,235838,60843,97130,1003803
6,2022,1,Corrientes,40462,79093,10875,6774,53740,142578
7,2022,1,Entre Ríos,67159,138986,23091,26098,125920,267926
8,2022,1,Formosa,16397,15927,5146,16876,2020,54548
9,2022,1,Jujuy,21307,60616,25949,4662,39750,116509
10,2022,1,La Pampa,8003,58978,21739,19903,11090,109732
11,2022,1,La Rioja,9103,59228,9546,6395,310,84303
12,2022,1,Mendoza,49464,74145,123228,26969,13790,275185
13,2022,1,Misiones,39147,91752,25178,7807,76240,171508
14,2022,1,Neuquén,28443,73200,24193,23098,7450,149679
15,2022,1,Río Negro,38662,45366,38037,16815,184940,157374
16,2022,1,Salta,44714,98667,40994,5950,71900,197515
17,2022,1,San Juan,34038,14449,11294,20723,76740,88178
18,2022,1,San Luis,7987,11296,31,71809,287210,119844
19,2022,1,Santa Cruz,10537,23420,10766,3974,4050,49102
20,2022,1,Santa Fe,213486,444609,146552,45261,205710,870479
21,2022,1,Santiago Del Estero,18118,87979,1093,6349,29220,116461
22,2022,1,Tierra Del Fuego,13031,38700,416,124,3400,52611
23,2022,1,Tucumán,92532,62396,86174,3995,4870,245584
24,2021,4,Buenos Aires,426325,2706506,1176024,126887,734150,4509157
25,2021,4,Capital Federal,111360,1205128,60005,5679,299470,1412119
26,2021,4,Catamarca,16385,13858,25100,1512,22350,59090
27,2021,4,Chaco,35548,63145,34688,8005,23590,143745
28,2021,4,Chubut,46361,57412,9655,28041,188390,160308
29,2021,4,Córdoba,212011,487489,217214,61277,87790,986770
30,2021,4,Corrientes,42523,71183,10138,6778,52900,135912
31,2021,4,Entre Ríos,70459,133387,23452,25022,127260,265046
32,2021,4,Formosa,17211,15111,5151,16018,1720,53663
33,2021,4,Jujuy,22330,60511,24156,2927,39910,113915
34,2021,4,La Pampa,8175,58000,20192,19286,13540,107007
35,2021,4,La Rioja,10387,56651,9446,6613,310,83128
