,Año,Trimestre,Provincia,Mbps (Media de bajada)
0,2022,1,Buenos Aires,63
1,2022,1,Capital Federal,88
2,2022,1,Catamarca,51
3,2022,1,Chaco,46
4,2022,1,Chubut,13
5,2022,1,Córdoba,50
6,2022,1,Corrientes,38
7,2022,1,Entre Ríos,36
8,2022,1,Formosa,30
9,2022,1,Jujuy,28
10,2022,1,La Pampa,15
11,2022,1,La Rioja,41
12,2022,1,Mendoza,26
13,2022,1,Misiones,42
14,2022,1,Neuquén,43
15,2022,1,Río Negro,31
16,2022,1,Salta,37
17,2022,1,San Juan,12
18,2022,1,San Luis,21
19,2022,1,Santa Cruz,11
20,2022,1,Santa Fe,39
21,2022,1,Santiago Del Estero,14
22,2022,1,Tierra Del Fuego,11
23,2022,1,Tucumán,47
24,2021,4,Buenos Aires,60
25,2021,4,Capital Federal,83
26,2021,4,Catamarca,46
27,2021,4,Chaco,42
28,2021,4,Chubut,9
29,2021,4,Córdoba,46
30,2021,4,Corrientes,36
31,2021,4,Entre Ríos,33
32,2021,4,Formosa,29
33,2021,4,Jujuy,27
34,2021,4,La Pampa,14
35,2021,4,La Rioja,40
36,2021,4,Mendoza,22
37,2021,4,Misiones,39
38,2021,4,Neuquén,40
39,2021,4,Río Negro,27
40,2021,4,Salta,34
41,2021,4,San Juan,11
42,2021,4,San Luis,21
43,2021,4,Santa Cruz,9
44,2021,4,Santa Fe,36
45,2021,4,Santiago Del Estero,14
46,2021,4,Tierra Del Fuego,11
47,2021,4,Tucumán,45
48,2021,3,Buenos Aires,56
49,2021,3,Capital Federal,78
50,2021,3,Catamarca,43
51,2021,3,Chaco,39
52,2021,3,Chubut,8
53,2021,3,Córdoba,42
54,2021,3,Corrientes,32
55,2021,3,Entre Ríos,30
56,2021,3,Formosa,27
57,2021,3,Jujuy,26
58,2021,3,La Pampa,13
59,2021,3,La Rioja,39
60,2021,3,Mendoza,13
61,2021,3,Misiones,31
62,2021,3,Neuquén,38
63,2021,3,Río Negro,25
64,2021,3,Salta,31
65,2021,3,San Juan,7
66,2021,3,San Luis,22
67,2021,3,Santa Cruz,8
68,2021,3,Santa Fe,33
69,2021,3,Santiago Del Estero,13
70,2021,3,Tierra Del Fuego,10
71,2021,3,Tucumán,42
72,2021,2,Buenos Aires,53
73,2021,2,Capital Federal,73
74,2021,2,Catamarca,42
75,2021,2,Chaco,37
76,2021,2,Chubut,8
77,2021,2,Córdoba,40
78,2021,2,Corrientes,30
79,2021,2,Entre Ríos,28
80,2021,2,Formosa,24
81,2021,2,Jujuy,26
82,2021,2,La Pampa,12
83,2021,2,La Rioja,39
84,2021,2,Mendoza,13
85,2021,2,Misiones,29
86,2021,2,Neuquén,36
87,2021,2,Río Negro,24
88,2021,2,Salta,29
89,2021,2,San Juan,7
90,2021,2,San Luis,22
91,2021,2,Santa Cruz,8
92,2021,2,Santa Fe,31
93,2021,2,Santiago Del Estero,13
94,2021,2,Tierra Del Fuego,9
95,2021,2,Tucumán,40
96,2021,1,Buenos Aires,51
97,2021,1,Capital Federal,68
98,2021,1,Catamarca,40
99,2021,1,Chaco,34
100,2021,1,Chubut,8
101,2021,1,Córdoba,36
102,2021,1,Corrientes,26
103,2021,1,Entre Ríos,24
104,2021,1,Formosa,21
105,2021,1,Jujuy,27
106,2021,1,La Pampa,11
107,2021,1,La Rioja,13
108,2021,1,Mendoza,13
109,2021,1,Misiones,25
110,2021,1,Neuquén,34
111,2021,1,Río Negro,22
112,2021,1,Salta,27
113,2021,1,San Juan,7
114,2021,1,San Luis,22
115,2021,1,Santa Cruz,8
116,2021,1,Santa Fe,28
117,2021,1,Santiago Del Estero,12
118,2021,1,Tierra Del Fuego,9
119,2021,1,Tucumán,38
120,2020,4,Buenos Aires,50
121,2020,4,Capital Federal,67
122,2020,4,Catamarca,38
123,2020,4,Chaco,32
124,2020,4,Chubut,7
125,2020,4,Córdoba,35
126,2020,4,Corrientes,25
127,2020,4,Entre Ríos,24
128,2020,4,Formosa,20
129,2020,4,Jujuy,25
130,2020,4,La Pampa,10
131,2020,4,La Rioja,13
132,2020,4,Mendoza,11
133,2020,4,Misiones,25
134,2020,4,Neuquén,34
135,2020,4,Río Negro,22
136,2020,4,Salta,25
137,2020,4,San Juan,6
138,2020,4,San Luis,21
139,2020,4,Santa Cruz,7
140,2020,4,Santa Fe,27
141,2020,4,Santiago Del Estero,11
142,2020,4,Tierra Del Fuego,8
143,2020,4,Tucumán,36
144,2020,3,Buenos Aires,48
145,2020,3,Capital Federal,64
146,2020,3,Catamarca,37
147,2020,3,Chaco,31
148,2020,3,Chubut,7
149,2020,3,Córdoba,34
150,2020,3,Corrientes,24
151,2020,3,Entre Ríos,22
152,2020,3,Formosa,18
153,2020,3,Jujuy,22
154,2020,3,La Pampa,11
155,2020,3,La Rioja,12
156,2020,3,Mendoza,10
157,2020,3,Misiones,24
158,2020,3,Neuquén,31
159,2020,3,Río Negro,21
160,2020,3,Salta,25
161,2020,3,San Juan,6
162,2020,3,San Luis,21
163,2020,3,Santa Cruz,7
164,2020,3,Santa Fe,26
165,2020,3,Santiago Del Estero,11
166,2020,3,Tierra Del Fuego,9
167,2020,3,Tucumán,35
168,2020,2,Buenos Aires,46
169,2020,2,Capital Federal,60
170,2020,2,Catamarca,35
171,2020,2,Chaco,28
172,2020,2,Chubut,8
173,2020,2,Córdoba,31
174,2020,2,Corrientes,22
175,2020,2,Entre Ríos,20
176,2020,2,Formosa,17
177,2020,2,Jujuy,16
178,2020,2,La Pampa,8
179,2020,2,La Rioja,12
180,2020,2,Mendoza,9
181,2020,2,Misiones,23
182,2020,2,Neuquén,29
183,2020,2,Río Negro,20
184,2020,2,Salta,23
185,2020,2,San Juan,6
186,2020,2,San Luis,21
187,2020,2,Santa Cruz,7
188,2020,2,Santa Fe,24
189,2020,2,Santiago Del Estero,10
190,2020,2,Tierra Del Fuego,8
191,2020,2,Tucumán,33
192,2020,1,Buenos Aires,45
193,2020,1,Capital Federal,59
194,2020,1,Catamarca,29
195,2020,1,Chaco,26
196,2020,1,Chubut,7
197,2020,1,Córdoba,29
198,2020,1,Corrientes,21
199,2020,1,Entre Ríos,19
200,2020,1,Formosa,16
201,2020,1,Jujuy,14
202,2020,1,La Pampa,7
203,2020,1,La Rioja,8
204,2020,1,Mendoza,8
205,2020,1,Misiones,22
206,2020,1,Neuquén,28
207,2020,1,Río Negro,19
208,2020,1,Salta,21
209,2020,1,San Juan,6
210,2020,1,San Luis,21
211,2020,1,Santa Cruz,6
212,2020,1,Santa Fe,22
213,2020,1,Santiago Del Estero,10
214,2020,1,Tierra Del Fuego,7
215,2020,1,Tucumán,32
216,2019,4,Buenos Aires,31
217,2019,4,Capital Federal,44
218,2019,4,Catamarca,25
219,2019,4,Chaco,23
220,2019,4,Chubut,7
221,2019,4,Córdoba,26
222,2019,4,Corrientes,19
223,2019,4,Entre Ríos,17
224,2019,4,Formosa,15
225,2019,4,Jujuy,13
226,2019,4,La Pampa,7
227,2019,4,La Rioja,8
228,2019,4,Mendoza,8
229,2019,4,Misiones,20
230,2019,4,Neuquén,26
231,2019,4,Río Negro,17
232,2019,4,Salta,19
233,2019,4,San Juan,6
234,2019,4,San Luis,21
235,2019,4,Santa Cruz,5
236,2019,4,Santa Fe,21
237,2019,4,Santiago Del Estero,10
238,2019,4,Tierra Del Fuego,7
239,2019,4,Tucumán,30
240,2019,3,Buenos Aires,26
241,2019,3,Capital Federal,39
242,2019,3,Catamarca,9
