,Año,Trimestre,Mbps (Media de bajada)
0,2022,1,55.11
1,2021,4,52.34
2,2021,3,48.46
3,2021,2,45.63
4,2021,1,43.11
5,2020,4,42.36
6,2020,3,40.67
7,2020,2,38.32
8,2020,1,37.52
9,2019,4,28.26
10,2019,3,24.18
11,2019,2,20.33
12,2019,1,17.38
13,2018,4,15.95
14,2018,3,15.36
15,2018,2,13.85
16,2018,1,13.22
17,2017,4,12.01
18,2017,3,8.34
19,2017,2,7.16
20,2017,1,6.62
21,2016,4,6.34
22,2016,3,5.94
23,2016,2,5.42
24,2016,1,5.08
25,2015,4,4.99
26,2015,3,4.79
27,2015,2,4.55
28,2015,1,4.35
29,2014,4,4.16
30,2014,3,3.87
31,2014,2,3.76
32,2014,1,3.62
