,Año,Trimestre,Provincia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Total
0,2022,1,Buenos Aires,31591,30056,313382,321756,290127,161183,3381049,26280.0,4555424
1,2022,1,Capital Federal,527,5575,39918,77390,61053,43289,1188072,1717.0,1417541
2,2022,1,Catamarca,71,456,4386,7009,8773,3761,35715,2207.0,62378
3,2022,1,Chaco,461,1099,16888,21235,20898,13012,62946,7580.0,144119
4,2022,1,Chubut,113,1677,61369,31856,33080,13871,14055,15607.0,171628
5,2022,1,Córdoba,100,12782,165922,126009,73967,34892,577027,13104.0,1003803
6,2022,1,Corrientes,67,4029,24563,25665,27077,10452,43631,7094.0,142578
7,2022,1,Entre Ríos,107,5745,50075,49620,42294,21578,81757,16750.0,267926
8,2022,1,Formosa,97,448,24113,6945,6613,716,15028,588.0,54548
9,2022,1,Jujuy,58,1761,22141,16321,37923,576,35287,2442.0,116509
10,2022,1,La Pampa,301,2223,62812,9869,12044,5250,14400,2833.0,109732
11,2022,1,La Rioja,18,778,3576,4692,23624,5645,45970,0.0,84303
12,2022,1,Mendoza,114,3355,51230,26407,74178,21566,95048,3287.0,275185
13,2022,1,Misiones,51,3873,35655,22261,26855,15854,58610,8349.0,171508
14,2022,1,Neuquén,137,1123,39856,15623,11163,2654,71238,7885.0,149679
15,2022,1,Río Negro,116,1383,35565,18859,26926,14144,37729,22652.0,157374
16,2022,1,Salta,114,1725,35576,68246,6313,2214,76838,6489.0,197515
17,2022,1,San Juan,26,2269,32356,11914,25144,2088,11916,2465.0,88178
18,2022,1,San Luis,61,643,8287,3837,9802,68612,13,28589.0,119844
19,2022,1,Santa Cruz,51,6898,12710,11502,12277,2628,2551,485.0,49102
20,2022,1,Santa Fe,468,12435,143796,208361,84787,58018,344170,18444.0,870479
21,2022,1,Santiago Del Estero,178,1401,30220,61170,13542,849,8309,792.0,116461
22,2022,1,Tierra Del Fuego,24,894,12849,15640,18034,1767,982,2421.0,52611
23,2022,1,Tucumán,39,2212,36028,46961,21014,5211,133846,273.0,245584
24,2021,4,Buenos Aires,37821,11026,352950,331292,297296,196021,3259793,22958.0,4509157
25,2021,4,Capital Federal,563,1695,47133,81899,66135,66755,1147939,0.0,1412119
26,2021,4,Catamarca,71,0,6038,7855,9804,3262,29827,2233.0,59090
27,2021,4,Chaco,461,112,18845,22678,21937,13692,58435,7585.0,143745
28,2021,4,Chubut,126,1294,63698,39568,31175,5780,2904,15763.0,160308
29,2021,4,Córdoba,100,2479,184548,130892,76246,41198,538700,12607.0,986770
30,2021,4,Corrientes,67,645,28830,26368,22922,10087,39911,7082.0,135912
31,2021,4,Entre Ríos,107,3024,56043,49636,38295,24068,77290,16583.0,265046
32,2021,4,Formosa,84,0,22908,6983,6811,1135,13775,1967.0,53663
33,2021,4,Jujuy,58,175,22446,16793,38134,564,33421,2324.0,113915
34,2021,4,La Pampa,301,493,64840,9082,12259,4821,12184,3027.0,107007
35,2021,4,La Rioja,18,1,5018,5437,23559,5671,43424,0.0,83128
36,2021,4,Mendoza,156,1463,66428,30308,75214,18621,75031,366.0,267587
37,2021,4,Misiones,51,5,41916,23554,26721,15954,54596,8335.0,171132
38,2021,4,Neuquén,140,940,42313,13264,10515,3310,69217,7767.0,147466
39,2021,4,Río Negro,156,1174,38373,19878,31255,4130,36142,22645.0,153753
40,2021,4,Salta,114,20,40673,69324,6642,3535,72622,6475.0,199405
41,2021,4,San Juan,44,1442,28906,10955,23978,398,9800,4435.0,79958
42,2021,4,San Luis,62,264,8550,4276,9107,67363,9,29218.0,118849
43,2021,4,Santa Cruz,52,297,20305,11641,13054,1770,876,491.0,48486
44,2021,4,Santa Fe,467,581,169706,206856,85690,62349,322015,18777.0,866441
45,2021,4,Santiago Del Estero,178,909,31915,61524,12205,800,7537,793.0,115861
46,2021,4,Tierra Del Fuego,26,385,13505,16534,16562,1748,1017,2580.0,52357
47,2021,4,Tucumán,39,97,37321,48736,21023,5326,125857,240.0,238639
48,2021,3,Buenos Aires,37193,31149,1108940,248153,141383,192797,2482266,9728.0,4251609
49,2021,3,Capital Federal,295,603,156978,67013,39785,73502,1075229,0.0,1413405
50,2021,3,Catamarca,71,0,6755,8428,10517,1659,26618,2206.0,56254
51,2021,3,Chaco,301,112,22545,20986,23852,14412,49705,7958.0,139871
52,2021,3,Chubut,104,105,89168,26281,18538,5320,1643,14907.0,156066
53,2021,3,Córdoba,99,2452,204989,141285,65050,47198,476459,9256.0,946788
54,2021,3,Corrientes,67,645,29629,28478,24792,9687,35468,5053.0,133819
55,2021,3,Entre Ríos,107,3024,61354,59776,39114,16284,67961,12755.0,260375
56,2021,3,Formosa,381,0,22778,7142,6978,1192,12707,1617.0,52795
57,2021,3,Jujuy,48,175,23884,16417,37755,561,29917,2401.0,111158
58,2021,3,La Pampa,298,313,65063,7395,8737,4023,10506,4152.0,100487
